cbsa,geoid,msa,STATE,January_2021_LaborForce,January_2021_URate,NUMBER_AIRPORTS,AIRPORT,CODE,NS_DOMESTIC,NS_INTERNATIONAL,NS_TOTAL,Avg. Local Sales Tax,State Sales Tax,Total Sales Tax,Property Tax per Capita,Property Tax Rank,Property Tax Throw Back,Taxable Wages Rate,New Employers Rate,Taxable Wage Base,Payroll Tax Notes,Individual Tax Rate,Individual Tax Brackets,Graduated Individual Tax,Franchise Tax Rate,Corporate Tax Rate,Corporate Tax Brackets,Graduated Corporate Tax,STATE_CODB,Fortune 500,Fortune 1000,HOUSING_PERMITS1,HOUSING_PERMITS2,PERMIT_CHANGE,SCORE,TOTPOP_CY,TOTPOP_FY,POP_ANNUAL_GROWTH,MEDAGE_CY,MEDHHINC_CY,HOME_VALUE,COLLEGE_DEGREE,DIV_INDEX,URBAN_AREA,COMP_INDEX,GROCERY,HOUSING,UTILITIES,TRANSPORTATION,HEALTH_CARE,MISC,APT_RENT,PHYSICAL_SCIENCES_ENROLLMENT,BIO_LIFE_ENROLLMENT,BUSINESS_MGMT_ENROLLMENT,EDUCATION_ENROLLMENT,ENGINEERING_ENROLLMENT,LAW_ENROLLMENT,MEDICINE_ENROLLMENT,ENROLLMENT,COMPLETIONS,NUMBER_OF_COLLEGES,MSA_CODB,UNIT_LABOR_COST,ENERGY_COST,STATE_LOCAL_TAX,OFFICE_RENT,JAN_RAIN,JAN_SNOW,JAN_TEMP_MAX,JAN_TEMP_MIN,JULY_RAIN,JULY_SNOW,JULY_TEMP_MAX,JULY_TEMP_MIN,geometry
10180,4810180,"Abilene, TX",TX,78194.0,5.7,0,None,None,0,0,0,1.94,6.25,8.19,1872.0,13.0,,0.31 - 6.31%,2.7,9000.0,,0.0,1.0,No,"Revised franchise tax, otherwise known as margin tax, on total revenues.",0.0,1.0,No,92.0,0.0,0.0,335.0,334.0,-0.003,,174899.0,179391.0,0.51,36.0,47453.0,127736.0,0.235,62.8,Abilene TX,87.6,85.5,74.5,108.3,98.9,105.0,88.3,991.0,111.0,502.0,1075.0,846.0,103.0,0.0,0.0,9758.0,2020.0,6.0,96.0,111.0,99.0,80.0,64.0,1.1,1.5,57.0,31.0,2.0,0.0,95.0,72.0,POINT (-2.655449984207693 -6.231829573998978)
10420,3910420,"Akron, OH",OH,350804.0,6.1,0,None,None,0,0,0,1.42,5.75,7.17,1316.0,30.0,,0.30 - 9.40%,2.7,9000.0,,4.8,5.0,Yes,No entity-level tax measured by net worth/capital value.,0.0,1.0,No,98.0,2.0,3.0,1011.0,519.0,-0.487,,712125.0,717910.0,0.16,41.0,60594.0,164505.0,0.334,37.5,,,,,,,,,,1289.0,2312.0,8138.0,5158.0,3798.0,436.0,570.0,58263.0,12379.0,9.0,94.0,93.0,113.0,104.0,69.0,2.8,16.4,32.0,17.0,4.1,0.0,81.0,61.0,POINT (11.36297959645739 3.309448833407477)
10500,1310500,"Albany, GA",GA,65956.0,6.5,0,None,None,0,0,0,3.31,4.0,7.31,1161.0,33.0,No,0.04 - 7.56%,2.7,9500.0,Includes 0.06% administrative assessment except lowest and highest rates,5.75,6.0,Yes,"Graduated tax from minimum of $125 to maximum of $5,000 on net worth exceeding $100,000.",5.75,1.0,No,94.0,0.0,0.0,170.0,143.0,-0.159,,154419.0,152879.0,-0.2,36.0,44540.0,134429.0,0.214,56.0,Albany GA,88.6,107.2,58.8,93.8,93.5,101.5,100.5,707.0,85.0,284.0,778.0,839.0,0.0,0.0,0.0,12159.0,1398.0,2.0,82.0,93.0,87.0,80.0,50.0,5.0,0.0,59.0,36.0,5.2,0.0,92.0,72.0,POINT (10.51241091230631 -6.469442812978731)
10540,4110540,"Albany-Lebanon, OR",OR,59441.0,7.5,0,None,None,0,0,0,0.0,0.0,0.0,1487.0,27.0,Yes,0.70 - 5.40%,2.1,42100.0,Includes special payroll tax offset: 0.09%,9.9,4.0,Yes,No entity-level tax measured by net worth/capital value.,7.6,2.0,Yes,102.0,0.0,0.0,446.0,384.0,-0.139,,131026.0,138123.0,1.06,41.0,55420.0,269787.0,0.209,35.9,,,,,,,,,,,,,,,,,,,,91.0,103.0,96.0,92.0,58.0,9.7,11.2,42.0,30.0,0.9,0.0,81.0,49.0,POINT (-18.17321651766045 8.417033416753991)
10580,3610580,"Albany-Schenectady-Troy, NY",NY,447004.0,6.0,1,Albany,ALB,21,0,21,4.52,4.0,8.52,2902.0,4.0,No,0.60 - 7.90%,3.2,11600.0,"*2019, Includes 0.075% Re-employment Service Fund rate",8.82,8.0,Yes,"Capital value tax is part of overall franchise tax calculation that is based on the greater of the business income base, the capital tax base, or the fixed dollar minimum tax.",6.5,1.0,No,98.0,0.0,0.0,1231.0,1122.0,-0.089,100.0,905403.0,917006.0,0.26,42.0,71536.0,219457.0,0.391,40.3,Albany NY,110.2,112.3,116.7,100.0,103.9,104.1,109.2,1293.0,1894.0,2851.0,14261.0,3434.0,4412.0,466.0,558.0,129575.0,23634.0,26.0,83.0,82.0,90.0,129.0,62.0,2.9,16.4,30.0,12.0,4.3,0.0,81.0,60.0,POINT (16.41166246316839 5.969214754434524)
10740,3510740,"Albuquerque, NM",NM,436490.0,8.6,1,Albuquerque,ABQ,26,1,27,2.69,5.13,7.82,792.0,47.0,Yes,0.33 - 5.40%,1.0,25800.0,*2019,4.9,4.0,Yes,$50 per tax year.,5.9,2.0,Yes,103.0,0.0,0.0,2086.0,1872.0,-0.103,74.0,939316.0,980441.0,0.86,38.0,51565.0,200751.0,0.326,77.4,Albuquerque NM,93.0,97.4,85.4,96.2,88.4,96.0,97.1,874.0,773.0,2214.0,4056.0,2930.0,2696.0,349.0,438.0,69292.0,11244.0,11.0,90.0,105.0,94.0,79.0,57.0,0.8,6.2,46.0,18.0,2.1,0.0,88.0,57.0,POINT (-8.010562114177112 -3.144315931813717)
10780,2210780,"Alexandria, LA",LA,63163.0,5.2,0,None,None,0,0,0,5.07,4.45,9.52,901.0,44.0,No,0.09 - 6.20%,,7700.0,Includes applicable social charge assessments,6.0,3.0,Yes,"$1.50 per $1,000 of first $300,000 and $3.00 per $1,000 of amount which exceeds $300,000 of corporation's issued and outstanding capital stock, surplus, and undivided profits.",8.0,5.0,Yes,92.0,0.0,0.0,289.0,174.0,-0.398,38.0,156335.0,154533.0,-0.23,38.0,47364.0,143746.0,0.195,52.6,Alexandria LA,90.0,94.6,79.3,100.3,89.1,95.8,93.3,759.0,14.0,192.0,376.0,518.0,0.0,0.0,0.0,9770.0,870.0,5.0,83.0,95.0,76.0,64.0,73.0,5.3,0.0,58.0,37.0,4.3,0.0,92.0,73.0,POINT (3.406174039108949 -7.355650785936283)
10900,3410900,"Allentown-Bethlehem-Easton, PA-NJ",PA,,,0,None,None,0,0,0,0.34,6.0,6.34,1528.0,25.0,No,1.29 - 9.93%,3.69,10000.0,"Includes 5.4% surcharge, 0.00% interest tax factor and 0.50% additional contribution tax",3.07,1.0,No,No entity-level tax measured by net worth/capital value.,9.99,1.0,No,94.0,2.0,3.0,1082.0,329.0,-0.696,100.0,858334.0,873416.0,0.35,42.0,65554.0,222944.0,0.303,56.8,Allentown PA,105.8,99.8,113.0,108.1,108.1,95.1,102.7,1488.0,432.0,1252.0,3650.0,1030.0,2668.0,0.0,0.0,54556.0,8697.0,21.0,96.0,101.0,106.0,99.0,69.0,3.1,9.4,37.0,19.0,4.8,0.0,84.0,62.0,POINT (15.80493066132954 3.773253741254229)
11020,4211020,"Altoona, PA",PA,58507.0,8.1,0,None,None,0,0,0,0.34,6.0,6.34,1528.0,25.0,No,1.29 - 9.93%,3.69,10000.0,"Includes 5.4% surcharge, 0.00% interest tax factor and 0.50% additional contribution tax",3.07,1.0,No,No entity-level tax measured by net worth/capital value.,9.99,1.0,No,94.0,0.0,0.0,101.0,13.0,-0.871,,125035.0,123183.0,-0.3,44.0,50758.0,134120.0,0.221,12.3,,,,,,,,,,54.0,48.0,386.0,165.0,541.0,0.0,0.0,3555.0,361.0,2.0,94.0,99.0,121.0,98.0,51.0,2.2,9.5,34.0,20.0,3.3,0.0,81.0,60.0,POINT (13.69636227893857 3.027096626569891)
11100,4811100,"Amarillo, TX",TX,132360.0,4.9,0,None,None,0,0,0,1.94,6.25,8.19,1872.0,13.0,,0.31 - 6.31%,2.7,9000.0,,0.0,1.0,No,"Revised franchise tax, otherwise known as margin tax, on total revenues.",0.0,1.0,No,92.0,0.0,0.0,637.0,446.0,-0.3,23.0,275318.0,283722.0,0.6,36.0,55290.0,158158.0,0.255,66.4,Amarillo TX,80.7,93.2,59.9,91.4,78.9,87.4,88.9,902.0,76.0,473.0,1623.0,1170.0,452.0,0.0,0.0,24385.0,4065.0,3.0,87.0,101.0,69.0,80.0,82.0,0.6,2.9,51.0,21.0,2.6,0.0,92.0,64.0,POINT (-4.317324176457892 -3.334933219364979)
