RANK,COMPANY,ADDRESS,CITY,STATE,COUNTRY,MSA,REVENUE,EMPLOYEES,INDUSTRY,fortune500,fortuneThousand
1,Walmart,702 S.W. Eighth St.,Bentonville,AR,United States,"Fayetteville-Springdale-Rogers, AR-MO",523964,2200000,General Merchandisers,1,1
8,McKesson,6535 State Hwy. 161,Irving,TX,United States,"Dallas-Fort Worth-Arlington, TX",214319,70000,Wholesalers: Health Care,1,1
10,AmerisourceBergen,1300 Morris Dr.,Chesterbrook,PA,United States,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",179589.1,21500,Wholesalers: Health Care,1,1
21,Microsoft,1 Microsoft Way,Redmond,WA,United States,"Seattle-Tacoma-Bellevue, WA",125843,144000,Computer Software,1,1
26,Home Depot,2455 Paces Ferry Rd.,Atlanta,GA,United States,"Atlanta-Sandy Springs-Roswell, GA",110225,415700,Specialty Retailers: Other,1,1
38,International Business Machines,1 New Orchard Rd.,Armonk,NY,United States,"New York-Newark-Jersey City, NY-NJ-PA",77147,383800,Information Technology Services,1,1
41,Freddie Mac,8200 Jones Branch Dr.,McLean,VA,United States,"Washington-Arlington-Alexandria, DC-VA-MD-WV",75125,6892,Diversified Financials,1,1
43,United Parcel Service,55 Glenlake Pkwy. N.E.,Atlanta,GA,United States,"Atlanta-Sandy Springs-Roswell, GA",74094,377640,"Mail, Package, and Freight Delivery",1,1
55,Albertsons Cos.,250 Parkcenter Blvd.,Boise,ID,United States,"Boise City, ID",60534.5,267000,Food and Drug Stores,1,1
74,Nationwide,1 Nationwide Plaza,Columbus,OH,United States,"Columbus, OH",43982,28114,Insurance: Property and Casualty (Mutual),1,1
84,Deere,1 John Deere Place,Moline,IL,United States,"Davenport-Moline-Rock Island, IA-IL",39258,73489,Construction and Farm Machinery,1,1
85,Nike,1 Bowerman Dr.,Beaverton,OR,United States,"Portland-Vancouver-Hillsboro, OR-WA",39117,76700,Apparel,1,1
88,Coca-Cola,1 Coca-Cola Plaza,Atlanta,GA,United States,"Atlanta-Sandy Springs-Roswell, GA",37266,86200,Beverages,1,1
90,Tech Data,5350 Tech Data Dr.,Clearwater,FL,United States,"Tampa-St. Petersburg-Clearwater, FL",36998.4,15000,Wholesalers: Electronics and Office Equipment,1,1
118,Paccar,777 106th Ave. N.E.,Bellevue,WA,United States,"Seattle-Tacoma-Bellevue, WA",25599.7,27000,Construction and Farm Machinery,1,1
121,Jabil,10560 Dr. Martin Luther King Jr. St. N.,St. Petersburg,FL,United States,"Tampa-St. Petersburg-Clearwater, FL",25282.3,200000,Semiconductors and Other Electronic Components,1,1
136,Penske Automotive Group,2555 Telegraph Rd.,Bloomfield Hills,MI,United States,"Detroit-Warren-Dearborn, MI",23179.4,26980,"Automotive Retailing, Services",1,1
137,Visa,1 Market Plaza,San Francisco,CA,United States,"San Francisco-Oakland-Hayward, CA",22977,19500,Financial Data Services,1,1
145,Eli Lilly,Lilly Corporate Center,Indianapolis,IN,United States,"Indianapolis-Carmel-Anderson, IN",22319.5,33625,Pharmaceuticals,1,1
147,Lennar,700 N.W. 107th Ave.,Miami,FL,United States,"Miami-Fort Lauderdale-West Palm Beach, FL",22259.6,10106,Homebuilders,1,1
154,AutoNation,200 S.W. First Ave.,Fort Lauderdale,FL,United States,"Miami-Fort Lauderdale-West Palm Beach, FL",21335.7,25000,"Automotive Retailing, Services",1,1
