Date,"Anchorage, AK","Anniston-Oxford-Jacksonville, AL","Auburn-Opelika, AL","Bakersfield, CA","Birmingham-Hoover, AL","Chico, CA","Daphne-Fairhope-Foley, AL","Decatur, AL","Dothan, AL","El Centro, CA","Fairbanks, AK","Fayetteville-Springdale-Rogers, AR-MO","Flagstaff, AZ","Florence-Muscle Shoals, AL","Fort Smith, AR-OK","Fresno, CA","Gadsden, AL","Hanford-Corcoran, CA","Hot Springs, AR","Huntsville, AL","Jonesboro, AR","Lake Havasu City-Kingman, AZ","Little Rock-North Little Rock-Conway, AR","Los Angeles-Long Beach-Anaheim, CA","Madera, CA","Merced, CA","Mobile, AL","Modesto, CA","Montgomery, AL","Napa, CA","Oxnard-Thousand Oaks-Ventura, CA","Phoenix-Mesa-Scottsdale, AZ","Pine Bluff, AR","Prescott, AZ","Redding, CA","Riverside-San Bernardino-Ontario, CA","Sacramento-Roseville-Arden-Arcade, CA","Salinas, CA","San Diego-Carlsbad, CA","San Francisco-Oakland-Hayward, CA","San Jose-Sunnyvale-Santa Clara, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA","Santa Cruz-Watsonville, CA","Santa Maria-Santa Barbara, CA","Santa Rosa, CA","Sierra Vista-Douglas, AZ","Stockton-Lodi, CA","Tucson, AZ","Tuscaloosa, AL","Yuma, AZ"
Jan 2018,6.6,4.9,4.0,9.3,3.9,5.9,4.3,4.2,4.5,17.6,6.8,3.2,6.2,4.9,4.6,8.8,4.5,9.3,4.7,3.8,3.8,6.2,3.8,4.5,8.4,10.1,5.2,7.4,4.2,3.9,4.4,4.4,5.5,4.7,5.7,4.6,4.3,9.7,3.7,3.1,3.1,3.4,6.3,5.3,3.2,6.0,7.1,4.6,4.1,14.2
Feb 2018,6.8,5.1,4.0,9.7,3.9,5.9,4.3,4.2,4.5,17.3,6.7,3.1,5.8,4.8,4.6,9.2,4.6,9.6,4.7,3.9,3.7,5.7,3.9,4.3,8.2,10.7,5.3,7.4,4.3,3.4,4.0,4.2,5.6,4.5,6.0,4.5,4.2,10.2,3.5,3.0,3.0,3.2,6.8,4.9,3.1,5.7,7.1,4.5,4.1,12.8
Mar 2018,6.6,4.7,3.8,10.1,3.6,5.5,3.8,3.8,4.1,17.3,6.3,2.8,5.5,4.3,4.0,9.2,4.2,9.6,4.0,3.6,3.2,5.6,3.4,4.1,8.6,10.8,4.8,7.5,4.0,3.3,3.9,4.1,5.0,4.3,6.0,4.3,4.1,9.7,3.4,2.9,2.9,3.1,6.7,4.7,3.0,5.6,7.0,4.3,3.8,13.6
Apr 2018,6.2,4.2,3.1,8.6,3.1,4.9,3.2,3.3,3.6,16.3,6.2,2.5,5.0,3.8,3.6,7.9,3.6,8.4,3.5,3.1,2.8,5.3,3.1,3.9,7.8,9.2,4.2,6.6,3.4,2.9,3.4,3.9,4.4,4.1,5.1,3.9,3.6,7.0,3.1,2.6,2.6,2.8,5.7,3.8,2.7,5.3,6.2,4.1,3.2,16.0
May 2018,5.9,4.2,3.3,7.6,3.1,4.3,3.1,3.3,3.6,16.9,5.8,2.6,4.6,3.8,3.7,6.9,3.7,6.9,3.8,3.1,3.0,5.1,3.2,3.8,6.5,7.8,4.1,6.0,3.4,2.4,3.1,3.8,4.7,3.9,4.3,3.7,3.2,5.2,2.9,2.4,2.3,2.5,4.4,3.1,2.4,5.0,5.3,4.0,3.7,17.2
Jun 2018,6.1,5.4,4.4,8.5,4.1,5.3,4.0,4.2,4.6,18.8,5.8,3.0,5.6,5.0,4.0,7.5,4.7,8.2,4.3,4.1,3.5,5.8,3.5,4.4,7.2,8.6,5.3,7.0,4.4,2.9,3.9,4.3,5.4,4.5,5.0,4.6,4.0,5.1,3.6,3.0,2.9,3.2,4.5,3.9,3.0,5.7,6.3,4.6,4.7,19.5
Jul 2018,5.6,5.0,3.9,8.4,3.7,5.3,3.6,3.8,4.3,20.9,5.2,3.1,5.9,4.8,3.9,7.5,4.3,7.7,4.2,3.8,3.5,5.6,3.5,4.7,7.3,8.6,5.1,6.9,4.1,3.0,4.0,4.3,5.5,4.3,5.1,4.8,4.0,4.9,3.7,3.0,2.9,3.3,4.4,3.9,3.0,5.6,6.3,4.5,4.3,20.7
Aug 2018,5.2,4.7,3.8,7.5,3.6,4.9,3.7,3.6,4.2,22.1,4.5,2.8,5.4,4.5,3.6,6.8,4.2,6.9,3.9,3.6,3.1,5.7,3.3,4.5,6.5,7.4,4.8,6.1,4.1,2.8,4.1,4.3,4.9,4.5,4.9,4.7,3.9,4.4,3.6,2.9,2.8,3.2,4.1,3.7,2.8,5.7,5.8,4.6,3.9,21.0
Sep 2018,5.4,4.3,3.3,6.6,3.3,4.2,3.3,3.2,3.8,20.5,4.9,2.6,5.0,3.9,3.5,6.0,3.7,6.1,3.8,3.2,2.8,5.6,3.1,4.2,5.5,6.2,4.3,5.3,3.6,2.5,3.7,4.1,4.6,4.5,4.4,4.2,3.5,3.9,3.2,2.6,2.5,2.8,3.6,3.3,2.5,5.5,5.2,4.4,3.3,18.4
Oct 2018,5.4,4.2,3.3,6.6,3.3,4.4,3.4,3.2,3.8,20.3,5.0,2.5,5.1,3.9,3.4,6.5,3.8,6.5,3.6,3.2,2.7,5.4,2.9,4.2,6.0,6.4,4.2,5.5,3.7,2.6,3.8,4.0,4.4,4.3,4.4,4.2,3.6,4.2,3.3,2.7,2.6,2.9,3.7,3.4,2.6,5.3,5.4,4.3,3.3,18.0
Nov 2018,5.5,3.9,3.0,6.7,3.0,4.6,3.1,3.0,3.5,19.3,5.3,2.4,5.0,3.5,3.3,7.1,3.5,7.1,3.5,2.9,2.6,5.4,2.8,4.0,6.4,7.1,3.8,5.8,3.3,2.7,3.8,3.9,4.4,4.4,4.5,4.0,3.6,5.0,3.3,2.6,2.5,2.8,4.3,3.5,2.6,5.3,5.7,4.2,3.1,14.9
Dec 2018,5.4,4.1,3.2,7.8,3.1,5.9,3.3,3.1,3.6,18.7,5.5,2.6,5.9,3.9,3.6,7.8,3.6,8.3,3.8,3.0,2.9,5.8,3.1,4.1,7.3,8.6,4.1,6.5,3.5,3.4,3.9,4.1,4.9,4.4,5.0,4.1,3.7,8.3,3.3,2.7,2.6,3.0,5.6,4.2,2.7,5.6,6.3,4.4,3.2,14.1
